Joint,U1,U2,U3,R1,R2,R3
1,0.000062,0.000002745,-0.000195,0.000015,-0.00144,0.000002874
1,0.000007155,-2.77E-07,-0.001497,-0.000061,-0.011411,-0.000004825
2,0.00003,0.000011,-0.000192,0.002285,-0.001314,0.000063
2,0.000003146,3.92E-07,-0.001476,0.000276,-0.010452,-0.000009175
3,0.000041,-0.000003939,-0.000201,-0.00011,0.00508,-0.000016
3,-0.000172,-0.000017,-0.001556,-0.001014,0.000589,-0.000146
4,0.000024,0.000008268,-0.000198,0.000014,0.007825,0.000065
4,-0.000194,-0.000001782,-0.001527,-0.000056,0.000776,-0.000008636
5,0.000052,0.000032,-0.000192,0.004627,-0.001299,-0.000001995
5,0.000006713,0.000002493,-0.001463,0.000565,-0.010167,-0.000084
6,0.000033,-0.0000065,-0.000196,-0.00028,0.007217,-0.000008817
6,-0.000171,-0.000039,-0.001493,-0.002645,0.000731,-0.000202
7,0.000018,0.000028,-0.000189,0.006171,-0.001078,0.000194
7,0.000002749,0.00000154,-0.001407,0.000747,-0.008006,-0.000024
8,0.00006,-0.000007173,-0.000198,-0.000327,0.004313,-0.000024
8,-0.000128,-0.000039,-0.001485,-0.00278,0.000515,-0.000532
9,0.000027,0.000053,-0.000187,0.007902,-0.000947,-0.000002172
9,0.000005212,0.000004776,-0.001349,0.001003,-0.006595,-0.000179
10,0.000067,-0.000009696,-0.000191,-0.000523,0.005785,-0.000009508
10,-0.000104,-0.000049,-0.001379,-0.004741,0.00058,-0.00039
11,0.000008765,0.000034,-0.000183,0.00797,-0.000676,0.000329
11,-0.000018,0.000002363,-0.00123,0.001071,-0.004092,0.000004422
12,0.000096,-0.000001098,-0.000192,-0.000484,0.002927,-0.00002
12,-0.000042,-0.000023,-0.001303,-0.004006,0.000355,-0.000842
13,0.00000999,0.000054,-0.00018,0.008341,-0.000445,-7.85E-07
13,-0.000028,0.000006091,-0.001124,0.001248,-0.002766,-0.000288
14,0.000113,0.000011,-0.000183,-0.000655,0.003738,-0.000001877
14,-0.000005489,-0.000022,-0.001152,-0.005733,0.00035,-0.000441
15,4.99E-07,0.000022,-0.000173,0.006684,0.002137,0.000502
15,-0.000049,0.000002606,-0.001007,0.001185,-0.000779,0.000007507
16,0.000124,0.00007,-0.000181,-0.000529,0.001242,-0.000003694
16,0.00000677,-0.000011,-0.001075,-0.004382,0.000147,-0.000962
17,-3.23E-07,0.000038,-0.000167,0.006805,0.002543,9.22E-07
17,-0.000068,0.000005893,-0.00093,0.001238,0.000085,-0.000457
18,0.000132,0.000089,-0.000171,-0.000609,0.001925,0.000025
18,0.000009448,-0.000013,-0.000959,-0.006119,0.000106,-0.000208
19,-0.000001162,0.000001947,-0.000126,0.004181,0.004705,0.000607
19,-0.000066,-0.000008488,-0.000761,0.000403,0.000296,0.000008703
20,0.000126,0.000107,-0.000129,-0.000391,0.000313,0.00011
20,0.000012,-0.000013,-0.000827,-0.003486,-0.000408,-0.000223
21,-0.000003007,0.000003826,0.000122,0.002614,0.003665,0.000005143
21,-0.000069,-0.000025,-0.000535,-0.001995,0.000516,-0.00054
22,0.000125,0.000092,0.000135,-0.000039,0.002036,0.000176
22,0.000016,-0.000017,-0.000558,-0.003911,-0.000056,-0.000292
23,-0.000002816,0.000001005,0.000347,0.000657,0.004275,0.000938
23,-0.000056,-0.000045,-0.000185,-0.002991,0.00047,-0.000041
24,0.000123,0.000105,0.000399,-0.000001313,0.002249,0.000471
24,0.00002,-0.000018,-0.00021,-0.000983,-0.000296,-0.000647
25,0.000006395,0.000006227,0.000528,0.000545,0.00162,0.000001031
25,-0.000036,-0.000083,-0.000115,-0.004192,-0.000862,-0.000677
26,0.000128,0.000129,0.00057,0.000161,0.002331,0.000002915
26,0.000024,-0.000022,-0.000122,-0.001333,0.000186,-0.000541
27,-6.66E-07,0.000003145,0.000868,0.000684,0.000657,0.000503
27,-0.000029,-0.000062,-0.00013,-0.008992,-0.002823,0.000042
28,0.000165,0.000113,0.000971,0.004041,0.002197,0.001111
28,0.00002,-0.000017,-0.000139,-0.000317,0.000017,-0.00011
29,0.00003,0.000003279,0.00131,0.000494,0.000994,-0.00000314
29,-0.000003442,-0.000069,-0.000146,-0.006066,-0.00837,-0.000331
